routine	key	size	epopenblas-omp1	epopenblas-omp4	parallel-blas-omp1	parallel-blas-omp4	migrated-serial	mig_par_omp1	mig_par_omp4	mig_ep_omp1	mig_ep_omp4
ygemmtr	LNC	64	1.9676	1.9799	2.3493	2.1627	2.5183	2.5183	2.5070	2.5573	2.5688
ygemmtr	LNC	128	2.0477	2.0090	2.4031	2.4118	2.5933	2.5933	2.6247	2.6479	2.5828
ygemmtr	LNC	256	2.0822	2.0858	2.5181	2.4650	2.6966	2.6966	2.7027	2.6805	2.6990
ygemmtr	LNC	512	2.0198	2.0370	2.4520	2.4133	2.6246	2.6246	2.6378	2.6241	2.6404
ygemmtr	LNN	64	2.0316	2.0306	2.5047	2.2950	2.5049	2.5049	2.4465	2.4838	2.5042
ygemmtr	LNN	128	2.0700	1.1502	2.5634	2.5003	2.5366	2.5366	2.4961	2.5721	2.5672
ygemmtr	LNN	256	2.0867	1.6552	2.5967	2.5805	2.6104	2.6104	2.6185	2.6210	2.6137
ygemmtr	LNN	512	2.0870	1.8907	2.5744	2.5466	2.5955	2.5955	2.5985	2.5971	2.6072
ygemmtr	LNT	64	2.0211	2.0213	2.4866	2.0330	2.5725	2.5725	2.2920	2.5635	2.5439
ygemmtr	LNT	128	2.0442	2.0593	2.4392	2.4497	2.5880	2.5880	2.5894	2.6310	2.6349
ygemmtr	LNT	256	2.0974	2.0947	2.6039	2.5197	2.6954	2.6954	2.6556	2.6870	2.6303
ygemmtr	LNT	512	2.0212	2.0431	2.5167	2.4925	2.6196	2.6196	2.6255	2.6281	2.6246
ygemmtr	LTC	64	2.8508	2.8274	2.8287	2.6061	2.8446	2.8446	2.8795	2.8011	2.7347
ygemmtr	LTC	128	2.1872	2.1779	2.1175	2.0671	2.1314	2.1314	2.1204	2.1428	2.1207
ygemmtr	LTC	256	2.1534	2.1839	2.0977	2.0809	2.1104	2.1104	2.1109	2.0662	2.0922
ygemmtr	LTC	512	2.1530	2.1535	2.0624	2.0106	2.0876	2.0876	2.0845	2.0730	2.0773
ygemmtr	LTN	64	3.1245	3.1336	3.1587	2.8273	3.1515	3.1515	3.1486	3.1737	3.1762
ygemmtr	LTN	128	3.1497	1.4282	3.1990	3.1361	3.1981	3.1981	3.1700	3.1963	3.2020
ygemmtr	LTN	256	3.2236	2.2300	3.2223	3.0999	3.2220	3.2220	3.1009	3.2166	3.2253
ygemmtr	LTN	512	3.1933	2.8458	3.2012	3.1479	3.2022	3.2022	3.1994	3.1626	3.2126
ygemmtr	LTT	64	2.6870	3.0433	3.1766	2.5975	3.1672	3.1672	3.0122	2.7310	3.0958
ygemmtr	LTT	128	2.2221	2.2205	2.1779	2.1330	2.2327	2.2327	2.2074	2.2294	2.2303
ygemmtr	LTT	256	2.1936	2.1994	2.1600	2.1414	2.2154	2.2154	2.2005	2.2278	2.2076
ygemmtr	LTT	512	2.1531	2.1572	2.1251	2.0797	2.1548	2.1548	2.1627	2.1659	2.1657
ygemmtr	UCC	64	2.7783	2.6900	2.8764	2.5511	2.9300	2.9300	2.8629	2.9257	2.8653
ygemmtr	UCC	128	2.1185	2.1243	2.0249	2.0312	2.1586	2.1586	2.1521	2.1422	2.1373
ygemmtr	UCC	256	2.1206	2.1056	2.0887	2.0467	2.1269	2.1269	2.1308	2.1329	2.1368
ygemmtr	UCC	512	2.0817	2.0959	2.0564	2.0120	2.1003	2.1003	2.0872	2.0854	2.0960
