run_id	run_binary	omp	taskset	routine	key	size	iters	subject_GFs	migrated_GFs
epopenblas-omp4	ep_	4	0	egbmv	N/x2	128	5	1.0596	1.1945
epopenblas-omp4	ep_	4	0	egbmv	N/x2	256	5	1.0374	1.1669
epopenblas-omp4	ep_	4	0	egbmv	N/x2	512	5	0.4684	1.1472
epopenblas-omp4	ep_	4	0	egbmv	N/x2	1024	5	0.6009	1.1470
epopenblas-omp4	ep_	4	0	egbmv	N/x2/y2	128	5	1.0600	1.0587
epopenblas-omp4	ep_	4	0	egbmv	N/x2/y2	256	5	1.0278	1.0316
epopenblas-omp4	ep_	4	0	egbmv	N/x2/y2	512	5	0.4564	1.0196
epopenblas-omp4	ep_	4	0	egbmv	N/x2/y2	1024	5	0.6214	1.0155
epopenblas-omp4	ep_	4	0	egbmv	N/x2/y-1	128	5	1.0549	0.9383
epopenblas-omp4	ep_	4	0	egbmv	N/x2/y-1	256	5	1.0301	1.0321
epopenblas-omp4	ep_	4	0	egbmv	N/x2/y-1	512	5	0.4579	1.0198
epopenblas-omp4	ep_	4	0	egbmv	N/x2/y-1	1024	5	0.6097	1.0148
epopenblas-omp4	ep_	4	0	egbmv	N/x-1	128	5	0.9391	1.1948
epopenblas-omp4	ep_	4	0	egbmv	N/x-1	256	5	1.0330	1.1674
epopenblas-omp4	ep_	4	0	egbmv	N/x-1	512	5	0.4576	1.1530
epopenblas-omp4	ep_	4	0	egbmv	N/x-1	1024	5	0.6243	1.1310
epopenblas-omp4	ep_	4	0	egbmv	N/x-1/y2	128	5	1.0591	1.0585
epopenblas-omp4	ep_	4	0	egbmv	N/x-1/y2	256	5	1.0285	1.0321
epopenblas-omp4	ep_	4	0	egbmv	N/x-1/y2	512	5	0.4505	1.0199
epopenblas-omp4	ep_	4	0	egbmv	N/x-1/y2	1024	5	0.6112	1.0161
epopenblas-omp4	ep_	4	0	egbmv	N/x-1/y-1	128	5	1.0567	1.0594
epopenblas-omp4	ep_	4	0	egbmv	N/x-1/y-1	256	5	1.0279	1.0296
epopenblas-omp4	ep_	4	0	egbmv	N/x-1/y-1	512	5	0.4602	0.9864
epopenblas-omp4	ep_	4	0	egbmv	N/x-1/y-1	1024	5	0.6139	1.0154
epopenblas-omp4	ep_	4	0	egbmv	T	128	5	2.1887	1.6759
epopenblas-omp4	ep_	4	0	egbmv	T	256	5	2.1604	2.0873
epopenblas-omp4	ep_	4	0	egbmv	T	512	5	0.5885	2.0066
epopenblas-omp4	ep_	4	0	egbmv	T	1024	5	0.8765	1.9779
epopenblas-omp4	ep_	4	0	egbmv	T/y2	128	5	2.1705	2.1019
epopenblas-omp4	ep_	4	0	egbmv	T/y2	256	5	2.1264	2.0757
epopenblas-omp4	ep_	4	0	egbmv	T/y2	512	5	0.5758	2.0023
epopenblas-omp4	ep_	4	0	egbmv	T/y2	1024	5	0.8923	1.9849
epopenblas-omp4	ep_	4	0	egbmv	T/y-1	128	5	2.1916	2.0968
epopenblas-omp4	ep_	4	0	egbmv	T/y-1	256	5	2.1155	2.0799
epopenblas-omp4	ep_	4	0	egbmv	T/y-1	512	5	0.5780	2.0051
epopenblas-omp4	ep_	4	0	egbmv	T/y-1	1024	5	0.8750	1.9862
epopenblas-omp4	ep_	4	0	egbmv	T/x2	128	5	2.0407	2.0827
epopenblas-omp4	ep_	4	0	egbmv	T/x2	256	5	2.0104	2.0408
epopenblas-omp4	ep_	4	0	egbmv	T/x2	512	5	0.5799	1.9687
epopenblas-omp4	ep_	4	0	egbmv	T/x2	1024	5	0.8770	1.9377
epopenblas-omp4	ep_	4	0	egbmv	T/x2/y2	128	5	2.0447	2.0884
epopenblas-omp4	ep_	4	0	egbmv	T/x2/y2	256	5	1.9990	2.0461
epopenblas-omp4	ep_	4	0	egbmv	T/x2/y2	512	5	0.5743	1.9369
epopenblas-omp4	ep_	4	0	egbmv	T/x2/y2	1024	5	0.8771	1.9410
epopenblas-omp4	ep_	4	0	egbmv	T/x2/y-1	128	5	2.0627	2.0920
epopenblas-omp4	ep_	4	0	egbmv	T/x2/y-1	256	5	2.0096	2.0544
epopenblas-omp4	ep_	4	0	egbmv	T/x2/y-1	512	5	0.5847	1.9655
epopenblas-omp4	ep_	4	0	egbmv	T/x2/y-1	1024	5	0.8737	1.9482
epopenblas-omp4	ep_	4	0	egbmv	T/x-1	128	5	2.0421	2.0921
epopenblas-omp4	ep_	4	0	egbmv	T/x-1	256	5	2.0024	2.0524
epopenblas-omp4	ep_	4	0	egbmv	T/x-1	512	5	0.6014	1.9660
epopenblas-omp4	ep_	4	0	egbmv	T/x-1	1024	5	0.8727	1.9395
epopenblas-omp4	ep_	4	0	egbmv	T/x-1/y2	128	5	2.0413	2.0904
epopenblas-omp4	ep_	4	0	egbmv	T/x-1/y2	256	5	2.0113	1.9151
epopenblas-omp4	ep_	4	0	egbmv	T/x-1/y2	512	5	0.5800	1.9109
epopenblas-omp4	ep_	4	0	egbmv	T/x-1/y2	1024	5	0.8809	1.9237
epopenblas-omp4	ep_	4	0	egbmv	T/x-1/y-1	128	5	2.0612	2.0887
epopenblas-omp4	ep_	4	0	egbmv	T/x-1/y-1	256	5	2.0115	2.0648
epopenblas-omp4	ep_	4	0	egbmv	T/x-1/y-1	512	5	0.5802	1.9700
epopenblas-omp4	ep_	4	0	egbmv	T/x-1/y-1	1024	5	0.8765	1.9213
parallel-blas-omp1	par_	1	0	egbmv	N	128	5	1.1915	1.1904
parallel-blas-omp1	par_	1	0	egbmv	N	256	5	1.1659	1.1652
parallel-blas-omp1	par_	1	0	egbmv	N	512	5	1.1527	1.1527
parallel-blas-omp1	par_	1	0	egbmv	N	1024	5	1.1468	1.1352
parallel-blas-omp1	par_	1	0	egbmv	N/y2	128	5	1.0627	1.0595
parallel-blas-omp1	par_	1	0	egbmv	N/y2	256	5	0.7746	0.9390
parallel-blas-omp1	par_	1	0	egbmv	N/y2	512	5	1.0206	1.0202
parallel-blas-omp1	par_	1	0	egbmv	N/y2	1024	5	1.0161	1.0073
parallel-blas-omp1	par_	1	0	egbmv	N/y-1	128	5	1.0614	1.0587
parallel-blas-omp1	par_	1	0	egbmv	N/y-1	256	5	1.0350	1.0342
parallel-blas-omp1	par_	1	0	egbmv	N/y-1	512	5	1.0215	0.9774
parallel-blas-omp1	par_	1	0	egbmv	N/y-1	1024	5	0.9984	1.0154
parallel-blas-omp1	par_	1	0	egbmv	N/x2	128	5	1.2049	1.0466
parallel-blas-omp1	par_	1	0	egbmv	N/x2	256	5	1.1766	1.1664
parallel-blas-omp1	par_	1	0	egbmv	N/x2	512	5	1.1616	1.1528
parallel-blas-omp1	par_	1	0	egbmv	N/x2	1024	5	1.1070	1.1468
parallel-blas-omp1	par_	1	0	egbmv	N/x2/y2	128	5	1.0611	1.0596
parallel-blas-omp1	par_	1	0	egbmv	N/x2/y2	256	5	1.0353	1.0330
parallel-blas-omp1	par_	1	0	egbmv	N/x2/y2	512	5	1.0216	1.0199
parallel-blas-omp1	par_	1	0	egbmv	N/x2/y2	1024	5	1.0048	1.0163
parallel-blas-omp1	par_	1	0	egbmv	N/x2/y-1	128	5	1.0595	1.0582
parallel-blas-omp1	par_	1	0	egbmv	N/x2/y-1	256	5	1.0349	1.0328
parallel-blas-omp1	par_	1	0	egbmv	N/x2/y-1	512	5	1.0208	1.0199
parallel-blas-omp1	par_	1	0	egbmv	N/x2/y-1	1024	5	1.0160	1.0162
parallel-blas-omp1	par_	1	0	egbmv	N/x-1	128	5	1.2042	1.1913
parallel-blas-omp1	par_	1	0	egbmv	N/x-1	256	5	1.1391	1.1659
parallel-blas-omp1	par_	1	0	egbmv	N/x-1	512	5	1.1621	1.1519
parallel-blas-omp1	par_	1	0	egbmv	N/x-1	1024	5	1.1536	1.1453
parallel-blas-omp1	par_	1	0	egbmv	N/x-1/y2	128	5	1.0590	1.0588
parallel-blas-omp1	par_	1	0	egbmv	N/x-1/y2	256	5	1.0003	1.0340
parallel-blas-omp1	par_	1	0	egbmv	N/x-1/y2	512	5	1.0004	0.9870
parallel-blas-omp1	par_	1	0	egbmv	N/x-1/y2	1024	5	1.0071	1.0161
parallel-blas-omp1	par_	1	0	egbmv	N/x-1/y-1	128	5	1.0595	0.9966
parallel-blas-omp1	par_	1	0	egbmv	N/x-1/y-1	256	5	1.0345	1.0340
parallel-blas-omp1	par_	1	0	egbmv	N/x-1/y-1	512	5	1.0214	1.0205
parallel-blas-omp1	par_	1	0	egbmv	N/x-1/y-1	1024	5	1.0160	1.0083
parallel-blas-omp1	par_	1	0	egbmv	T	128	5	2.1039	2.1278
parallel-blas-omp1	par_	1	0	egbmv	T	256	5	2.0899	2.0935
parallel-blas-omp1	par_	1	0	egbmv	T	512	5	2.0291	2.0256
parallel-blas-omp1	par_	1	0	egbmv	T	1024	5	1.9985	1.9914
parallel-blas-omp1	par_	1	0	egbmv	T/y2	128	5	2.1492	2.1271
parallel-blas-omp1	par_	1	0	egbmv	T/y2	256	5	2.1113	2.0891
parallel-blas-omp1	par_	1	0	egbmv	T/y2	512	5	2.0404	2.0291
